post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,226,27,MediaSquirrel,2026-04-09 15:30:45,0.11894273127753303,True
47697679,I built a tool to let you export your X bookmarks and categorize them,entertainment,16,8,xarchive,2026-04-09 15:30:45,0.47058823529411764,False
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,47,6,intofarlands,2026-04-09 15:30:45,0.125,False
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-09 15:30:45,0.1901840490797546,False
47693407,Show HN: 500k+ events/sec transformations for ClickHouse ingestion,entertainment,12,3,super_ar,2026-04-09 15:30:45,0.23076923076923078,False
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,464,199,MattHart88,2026-04-09 15:30:45,0.42795698924731185,True
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,115,32,noone_youknow,2026-04-09 15:30:45,0.27586206896551724,False
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-09 15:30:45,0.16831683168316833,False
47637828,Show HN: Tusk for macOS and Gnome,entertainment,120,49,factorialboy,2026-04-09 15:30:46,0.4049586776859504,False
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,247,204,Zm44,2026-04-09 15:30:46,0.8225806451612904,True
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,28,12,ashish004,2026-04-09 15:30:51,0.41379310344827586,False
47660853,Book review: There Is No Antimemetics Division,entertainment,279,226,ibobev,2026-04-09 15:30:52,0.8071428571428572,True
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,66,12,4RH1T3CT0R,2026-04-09 15:30:52,0.1791044776119403,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,320,201,nevernothing,2026-04-09 15:30:53,0.6261682242990654,True
